"lakeid","lakename","year4","daynum","month","sampledate","depth_id","depth","comments","nutrient","concentration"
"L","Paul Lake",1991,140,5,1991-05-20,1,0,"","tn_ug",538
"L","Paul Lake",1991,140,5,1991-05-20,2,0.85,"","tn_ug",285
"L","Paul Lake",1991,140,5,1991-05-20,3,1.75,"","tn_ug",399
"L","Paul Lake",1991,140,5,1991-05-20,4,3,"","tn_ug",453
"L","Paul Lake",1991,140,5,1991-05-20,5,4,"","tn_ug",363
"L","Paul Lake",1991,140,5,1991-05-20,6,6,"","tn_ug",583
"R","Peter Lake",1991,140,5,1991-05-20,1,0,"","tn_ug",352
"R","Peter Lake",1991,140,5,1991-05-20,2,1,"","tn_ug",356
"R","Peter Lake",1991,140,5,1991-05-20,3,2.25,"","tn_ug",364
"R","Peter Lake",1991,140,5,1991-05-20,4,3.5,"","tn_ug",582
"R","Peter Lake",1991,140,5,1991-05-20,5,4.65,"","tn_ug",335
"R","Peter Lake",1991,140,5,1991-05-20,6,6.5,"","tn_ug",352
"L","Paul Lake",1991,147,5,1991-05-27,1,0,"","tn_ug",483
"L","Paul Lake",1991,147,5,1991-05-27,2,0.65,"","tn_ug",351
"L","Paul Lake",1991,147,5,1991-05-27,3,1.5,"","tn_ug",337
"L","Paul Lake",1991,147,5,1991-05-27,4,2.75,"","tn_ug",327
"L","Paul Lake",1991,147,5,1991-05-27,5,4,"","tn_ug",346
"L","Paul Lake",1991,147,5,1991-05-27,6,6,"","tn_ug",687
"L","Paul Lake",1991,147,5,1991-05-27,7,8,"","tn_ug",900
"R","Peter Lake",1991,148,5,1991-05-28,1,0,"","tn_ug",342
"R","Peter Lake",1991,148,5,1991-05-28,2,0.85,"","tn_ug",326
"R","Peter Lake",1991,148,5,1991-05-28,3,1.75,"","tn_ug",573
"R","Peter Lake",1991,148,5,1991-05-28,4,3.25,"","tn_ug",386
"R","Peter Lake",1991,148,5,1991-05-28,5,4.25,"","tn_ug",400
"R","Peter Lake",1991,148,5,1991-05-28,6,6.5,"","tn_ug",415
"R","Peter Lake",1991,148,5,1991-05-28,7,12,"","tn_ug",660
"L","Paul Lake",1991,154,6,1991-06-03,1,0,"","tn_ug",512
"L","Paul Lake",1991,154,6,1991-06-03,2,0.5,"","tn_ug",584
"L","Paul Lake",1991,154,6,1991-06-03,3,1.25,"","tn_ug",470
"L","Paul Lake",1991,154,6,1991-06-03,4,2.25,"","tn_ug",587
"L","Paul Lake",1991,154,6,1991-06-03,5,3.4,"","tn_ug",348
"L","Paul Lake",1991,154,6,1991-06-03,6,5.34,"","tn_ug",468
"L","Paul Lake",1991,154,6,1991-06-03,7,8,"","tn_ug",1107
"R","Peter Lake",1991,155,6,1991-06-04,1,0,"","tn_ug",573
"R","Peter Lake",1991,155,6,1991-06-04,2,0.9,"","tn_ug",436
"R","Peter Lake",1991,155,6,1991-06-04,3,1.75,"","tn_ug",394
"R","Peter Lake",1991,155,6,1991-06-04,4,3.2,"","tn_ug",342
"R","Peter Lake",1991,155,6,1991-06-04,5,4.25,"","tn_ug",324
"R","Peter Lake",1991,155,6,1991-06-04,6,6.75,"","tn_ug",439
"R","Peter Lake",1991,155,6,1991-06-04,7,12,"","tn_ug",590
"L","Paul Lake",1991,161,6,1991-06-10,1,0,"","tn_ug",421
"L","Paul Lake",1991,161,6,1991-06-10,2,0.55,"","tn_ug",352
"L","Paul Lake",1991,161,6,1991-06-10,3,1.3,"","tn_ug",407
"L","Paul Lake",1991,161,6,1991-06-10,4,2.25,"","tn_ug",299
"L","Paul Lake",1991,161,6,1991-06-10,5,3.4,"","tn_ug",334
"L","Paul Lake",1991,161,6,1991-06-10,6,5.7,"","tn_ug",434
"L","Paul Lake",1991,161,6,1991-06-10,7,8,"","tn_ug",1271
"R","Peter Lake",1991,162,6,1991-06-11,1,0,"","tn_ug",296
"R","Peter Lake",1991,162,6,1991-06-11,2,1.25,"","tn_ug",291
"R","Peter Lake",1991,162,6,1991-06-11,3,2.6,"","tn_ug",308
"R","Peter Lake",1991,162,6,1991-06-11,4,4.1,"","tn_ug",324
"R","Peter Lake",1991,162,6,1991-06-11,5,5.4,"","tn_ug",374
"R","Peter Lake",1991,162,6,1991-06-11,6,7.8,"","tn_ug",376
"R","Peter Lake",1991,162,6,1991-06-11,7,12,"","tn_ug",676
"L","Paul Lake",1991,168,6,1991-06-17,1,0,"","tn_ug",474
"L","Paul Lake",1991,168,6,1991-06-17,2,0.65,"","tn_ug",377
"L","Paul Lake",1991,168,6,1991-06-17,3,1.3,"","tn_ug",411
"L","Paul Lake",1991,168,6,1991-06-17,4,2.4,"","tn_ug",347
"L","Paul Lake",1991,168,6,1991-06-17,5,3.25,"","tn_ug",359
"L","Paul Lake",1991,168,6,1991-06-17,6,5.4,"","tn_ug",446
"L","Paul Lake",1991,168,6,1991-06-17,7,8,"","tn_ug",1164
"R","Peter Lake",1991,169,6,1991-06-18,1,0,"","tn_ug",321
"R","Peter Lake",1991,169,6,1991-06-18,2,1,"","tn_ug",286
"R","Peter Lake",1991,169,6,1991-06-18,3,2,"","tn_ug",295
"R","Peter Lake",1991,169,6,1991-06-18,4,3.8,"","tn_ug",274
"R","Peter Lake",1991,169,6,1991-06-18,5,5.2,"","tn_ug",269
"R","Peter Lake",1991,169,6,1991-06-18,6,7.6,"","tn_ug",359
"R","Peter Lake",1991,169,6,1991-06-18,7,12,"","tn_ug",626
"L","Paul Lake",1991,175,6,1991-06-24,1,0,"","tn_ug",400
"L","Paul Lake",1991,175,6,1991-06-24,2,0.8,"","tn_ug",495
"L","Paul Lake",1991,175,6,1991-06-24,3,1.5,"","tn_ug",437
"L","Paul Lake",1991,175,6,1991-06-24,4,2.6,"","tn_ug",368
"L","Paul Lake",1991,175,6,1991-06-24,5,3.6,"","tn_ug",346
"L","Paul Lake",1991,175,6,1991-06-24,6,5.5,"","tn_ug",458
"L","Paul Lake",1991,175,6,1991-06-24,7,8,"","tn_ug",1287
"R","Peter Lake",1991,176,6,1991-06-25,1,0,"","tn_ug",292
"R","Peter Lake",1991,176,6,1991-06-25,2,1,"","tn_ug",304
"R","Peter Lake",1991,176,6,1991-06-25,3,1.9,"","tn_ug",317
"R","Peter Lake",1991,176,6,1991-06-25,4,3.4,"","tn_ug",312
"R","Peter Lake",1991,176,6,1991-06-25,5,4.7,"","tn_ug",334
"R","Peter Lake",1991,176,6,1991-06-25,6,7.4,"","tn_ug",336
"R","Peter Lake",1991,176,6,1991-06-25,7,12,"","tn_ug",593
"L","Paul Lake",1991,182,7,1991-07-01,1,0,"","tn_ug",506
"L","Paul Lake",1991,182,7,1991-07-01,2,0.8,"","tn_ug",560
"L","Paul Lake",1991,182,7,1991-07-01,3,1.6,"","tn_ug",503
"L","Paul Lake",1991,182,7,1991-07-01,4,2.5,"","tn_ug",504
"L","Paul Lake",1991,182,7,1991-07-01,5,3.8,"","tn_ug",398
"L","Paul Lake",1991,182,7,1991-07-01,6,5.7,"","tn_ug",535
"L","Paul Lake",1991,182,7,1991-07-01,7,8,"","tn_ug",1033
"R","Peter Lake",1991,183,7,1991-07-02,1,0,"","tn_ug",346
"R","Peter Lake",1991,183,7,1991-07-02,2,0.8,"","tn_ug",352
"R","Peter Lake",1991,183,7,1991-07-02,3,1.75,"","tn_ug",395
"R","Peter Lake",1991,183,7,1991-07-02,4,3.4,"","tn_ug",298
"R","Peter Lake",1991,183,7,1991-07-02,5,4.5,"","tn_ug",300
"R","Peter Lake",1991,183,7,1991-07-02,6,7,"","tn_ug",385
"R","Peter Lake",1991,183,7,1991-07-02,7,12,"","tn_ug",592
"L","Paul Lake",1991,189,7,1991-07-08,1,0,"","tn_ug",341
"L","Paul Lake",1991,189,7,1991-07-08,2,0.75,"","tn_ug",522
"L","Paul Lake",1991,189,7,1991-07-08,3,1.4,"","tn_ug",416
"L","Paul Lake",1991,189,7,1991-07-08,4,2.5,"","tn_ug",402
"L","Paul Lake",1991,189,7,1991-07-08,5,3.5,"","tn_ug",397
"L","Paul Lake",1991,189,7,1991-07-08,6,5.5,"","tn_ug",462
"L","Paul Lake",1991,189,7,1991-07-08,7,8,"","tn_ug",1229
"R","Peter Lake",1991,190,7,1991-07-09,1,0,"","tn_ug",266
"R","Peter Lake",1991,190,7,1991-07-09,2,1.1,"","tn_ug",287
"R","Peter Lake",1991,190,7,1991-07-09,3,2,"","tn_ug",323
"R","Peter Lake",1991,190,7,1991-07-09,4,3.5,"","tn_ug",400
"R","Peter Lake",1991,190,7,1991-07-09,5,4.9,"","tn_ug",367
"R","Peter Lake",1991,190,7,1991-07-09,6,7.5,"","tn_ug",405
"R","Peter Lake",1991,190,7,1991-07-09,7,12,"","tn_ug",575
"L","Paul Lake",1991,196,7,1991-07-15,1,0,"","tn_ug",436
"L","Paul Lake",1991,196,7,1991-07-15,2,0.7,"","tn_ug",443
"L","Paul Lake",1991,196,7,1991-07-15,3,1.6,"","tn_ug",431
"L","Paul Lake",1991,196,7,1991-07-15,4,2.5,"","tn_ug",403
"L","Paul Lake",1991,196,7,1991-07-15,5,3.5,"","tn_ug",436
"L","Paul Lake",1991,196,7,1991-07-15,6,5.5,"","tn_ug",386
"L","Paul Lake",1991,196,7,1991-07-15,7,8,"","tn_ug",1601
"R","Peter Lake",1991,197,7,1991-07-16,1,0,"","tn_ug",490
"R","Peter Lake",1991,197,7,1991-07-16,2,1,"","tn_ug",416
"R","Peter Lake",1991,197,7,1991-07-16,3,2,"","tn_ug",399
"R","Peter Lake",1991,197,7,1991-07-16,4,3.5,"","tn_ug",438
"R","Peter Lake",1991,197,7,1991-07-16,5,4.5,"","tn_ug",363
"R","Peter Lake",1991,197,7,1991-07-16,6,7.25,"","tn_ug",426
"R","Peter Lake",1991,197,7,1991-07-16,7,12,"","tn_ug",684
"L","Paul Lake",1991,203,7,1991-07-22,1,0,"","tn_ug",431
"L","Paul Lake",1991,203,7,1991-07-22,2,0.75,"","tn_ug",401
"L","Paul Lake",1991,203,7,1991-07-22,3,1.5,"","tn_ug",462
"L","Paul Lake",1991,203,7,1991-07-22,4,2.6,"","tn_ug",384
"L","Paul Lake",1991,203,7,1991-07-22,5,3.8,"","tn_ug",414
"L","Paul Lake",1991,203,7,1991-07-22,6,5.8,"","tn_ug",556
"L","Paul Lake",1991,203,7,1991-07-22,7,8,"","tn_ug",1266
"R","Peter Lake",1991,204,7,1991-07-23,1,0,"","tn_ug",364
"R","Peter Lake",1991,204,7,1991-07-23,2,1,"","tn_ug",389
"R","Peter Lake",1991,204,7,1991-07-23,3,2,"","tn_ug",336
"R","Peter Lake",1991,204,7,1991-07-23,4,3.5,"","tn_ug",336
"R","Peter Lake",1991,204,7,1991-07-23,5,4.9,"","tn_ug",357
"R","Peter Lake",1991,204,7,1991-07-23,6,7.75,"","tn_ug",391
"R","Peter Lake",1991,204,7,1991-07-23,7,12,"","tn_ug",775
"L","Paul Lake",1991,210,7,1991-07-29,1,0,"","tn_ug",442
"L","Paul Lake",1991,210,7,1991-07-29,2,0.5,"","tn_ug",404
"L","Paul Lake",1991,210,7,1991-07-29,3,1.2,"","tn_ug",329
"L","Paul Lake",1991,210,7,1991-07-29,4,2.4,"","tn_ug",317
"L","Paul Lake",1991,210,7,1991-07-29,5,3.4,"","tn_ug",381
"L","Paul Lake",1991,210,7,1991-07-29,6,5.8,"","tn_ug",452
"L","Paul Lake",1991,210,7,1991-07-29,7,8,"","tn_ug",1141
"R","Peter Lake",1991,211,7,1991-07-30,1,0,"","tn_ug",368
"R","Peter Lake",1991,211,7,1991-07-30,2,0.9,"","tn_ug",373
"R","Peter Lake",1991,211,7,1991-07-30,3,2,"","tn_ug",333
"R","Peter Lake",1991,211,7,1991-07-30,4,3.4,"","tn_ug",325
"R","Peter Lake",1991,211,7,1991-07-30,5,4.5,"","tn_ug",344
"R","Peter Lake",1991,211,7,1991-07-30,6,7.5,"","tn_ug",342
"R","Peter Lake",1991,211,7,1991-07-30,7,12,"","tn_ug",754
"L","Paul Lake",1991,217,8,1991-08-05,1,0,"","tn_ug",380
"L","Paul Lake",1991,217,8,1991-08-05,2,0.7,"","tn_ug",388
"L","Paul Lake",1991,217,8,1991-08-05,3,1.5,"","tn_ug",343
"L","Paul Lake",1991,217,8,1991-08-05,4,2.5,"","tn_ug",321
"L","Paul Lake",1991,217,8,1991-08-05,5,3.4,"","tn_ug",352
"L","Paul Lake",1991,217,8,1991-08-05,6,5.6,"","tn_ug",367
"L","Paul Lake",1991,217,8,1991-08-05,7,8,"","tn_ug",1235
"R","Peter Lake",1991,218,8,1991-08-06,1,0,"","tn_ug",288
"R","Peter Lake",1991,218,8,1991-08-06,2,1,"","tn_ug",289
"R","Peter Lake",1991,218,8,1991-08-06,3,2,"","tn_ug",271
"R","Peter Lake",1991,218,8,1991-08-06,4,3.6,"","tn_ug",296
"R","Peter Lake",1991,218,8,1991-08-06,5,5,"","tn_ug",274
"R","Peter Lake",1991,218,8,1991-08-06,6,8,"","tn_ug",317
"R","Peter Lake",1991,218,8,1991-08-06,7,12,"","tn_ug",703
"L","Paul Lake",1991,224,8,1991-08-12,1,0,"","tn_ug",383
"L","Paul Lake",1991,224,8,1991-08-12,2,0.65,"","tn_ug",388
"L","Paul Lake",1991,224,8,1991-08-12,3,1.5,"","tn_ug",362
"L","Paul Lake",1991,224,8,1991-08-12,4,2.5,"","tn_ug",329
"L","Paul Lake",1991,224,8,1991-08-12,5,3.4,"","tn_ug",349
"L","Paul Lake",1991,224,8,1991-08-12,6,5.5,"","tn_ug",419
"L","Paul Lake",1991,224,8,1991-08-12,7,8,"","tn_ug",1273
"R","Peter Lake",1991,225,8,1991-08-13,1,0,"","tn_ug",317
"R","Peter Lake",1991,225,8,1991-08-13,2,1.3,"","tn_ug",312
"R","Peter Lake",1991,225,8,1991-08-13,3,2.4,"","tn_ug",345
"R","Peter Lake",1991,225,8,1991-08-13,4,4,"","tn_ug",326
"R","Peter Lake",1991,225,8,1991-08-13,5,5,"","tn_ug",354
"R","Peter Lake",1991,225,8,1991-08-13,6,7.4,"","tn_ug",402
"R","Peter Lake",1991,225,8,1991-08-13,7,12,"","tn_ug",946
"L","Paul Lake",1991,231,8,1991-08-19,1,0,"","tn_ug",415
"L","Paul Lake",1991,231,8,1991-08-19,2,0.9,"","tn_ug",383
"L","Paul Lake",1991,231,8,1991-08-19,3,1.6,"","tn_ug",387
"L","Paul Lake",1991,231,8,1991-08-19,4,2.6,"","tn_ug",349
"L","Paul Lake",1991,231,8,1991-08-19,5,3.4,"","tn_ug",325
"L","Paul Lake",1991,231,8,1991-08-19,6,5.2,"","tn_ug",381
